Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids,,,,,,,,,,,
May 2021 First Open Bidding Exercise,05/05/2021,2021,Cat B (Cars above 1600cc or 97kW),819,"$60,001","1,244",813,,,,,,,,,,,
May 2021 First Open Bidding Exercise,05/05/2021,2021,Cat C (Goods vehicles and buses),157,"$43,001",261,119,,,,,,,,,,,
May 2021 First Open Bidding Exercise,05/05/2021,2021,Cat D (Motorcycles),650,"$8,011",901,639,,,,,,,,,,,
May 2021 First Open Bidding Exercise,05/05/2021,2021,Cat E (Open),268,"$63,002",387,268,,,,,,,,,,,
April 2021 Second Open Bidding Exercise,21/04/2021,2021,Cat A (Cars up to 1600cc and 97kW),890,"$49,640","1,290",883,,,,,,,,,,,
April 2021 Second Open Bidding Exercise,21/04/2021,2021,Cat B (Cars above 1600cc or 97kW),956,"$61,190","1,585",949,,,,,,,,,,,
April 2021 Second Open Bidding Exercise,21/04/2021,2021,Cat C (Goods vehicles and buses),262,"$44,001",441,256,,,,,,,,,,,
April 2021 Second Open Bidding Exercise,21/04/2021,2021,Cat D (Motorcycles),546,"$8,000",734,532,,,,,,,,,,,
April 2021 Second Open Bidding Exercise,21/04/2021,2021,Cat E (Open),303,"$62,100",633,295,,,,,,,,,,,
April 2021 First Open Bidding Exercise,07/04/2021,2021,Cat A (Cars up to 1600cc and 97kW),883,"$45,600","1,212",880,,,,,,,,,,,
April 2021 First Open Bidding Exercise,07/04/2021,2021,Cat B (Cars above 1600cc or 97kW),958,"$52,309","1,524",949,,,,,,,,,,,
April 2021 First Open Bidding Exercise,07/04/2021,2021,Cat C (Goods vehicles and buses),263,"$36,134",488,263,,,,,,,,,,,
April 2021 First Open Bidding Exercise,07/04/2021,2021,Cat D (Motorcycles),560,"$8,000",735,524,,,,,,,,,,,
April 2021 First Open Bidding Exercise,07/04/2021,2021,Cat E (Open),296,"$52,200",635,286,,,,,,,,,,,
March 2021 Second Open Bidding Exercise,17/03/2021,2021,Cat A (Cars up to 1600cc and 97kW),886,"$44,589","1,186",879,,,,,,,,,,,
March 2021 Second Open Bidding Exercise,17/03/2021,2021,Cat B (Cars above 1600cc or 97kW),946,"$47,001","1,222",932,,,,,,,,,,,
March 2021 Second Open Bidding Exercise,17/03/2021,2021,Cat C (Goods vehicles and buses),292,"$39,589",507,286,,,,,,,,,,,
March 2021 Second Open Bidding Exercise,17/03/2021,2021,Cat D (Motorcycles),542,"$7,791",700,538,,,,,,,,,,,
March 2021 Second Open Bidding Exercise,17/03/2021,2021,Cat E (Open),298,"$47,806",430,291,,,,,,,,,,,
