Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids,,,,,,,,,,,
March 2018 Second Open Bidding Exercise,21/03/2018,2018,Cat C (Goods vehicles and buses),247,"$35,001",378,234,,,,,,,,,,,
March 2018 Second Open Bidding Exercise,21/03/2018,2018,Cat D (Motorcycles),522,"$7,602",803,517,,,,,,,,,,,
March 2018 Second Open Bidding Exercise,21/03/2018,2018,Cat E (Open),571,"$38,000",977,564,,,,,,,,,,,
March 2018 First Open Bidding Exercise,07/03/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,580","$38,830","2,405","1,572",,,,,,,,,,,
March 2018 First Open Bidding Exercise,07/03/2018,2018,Cat B (Cars above 1600cc or 97kW),"1,390","$39,001","1,731","1,390",,,,,,,,,,,
March 2018 First Open Bidding Exercise,07/03/2018,2018,Cat C (Goods vehicles and buses),247,"$36,003",446,202,,,,,,,,,,,
March 2018 First Open Bidding Exercise,07/03/2018,2018,Cat D (Motorcycles),528,"$8,009",885,525,,,,,,,,,,,
March 2018 First Open Bidding Exercise,07/03/2018,2018,Cat E (Open),571,"$39,000",967,525,,,,,,,,,,,
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,562","$36,810","2,073","1,561",,,,,,,,,,,
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat B (Cars above 1600cc or 97kW),"1,391","$39,000","1,744","1,379",,,,,,,,,,,
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat C (Goods vehicles and buses),257,"$36,859",489,256,,,,,,,,,,,
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat D (Motorcycles),577,"$7,667","1,073",568,,,,,,,,,,,
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat E (Open),586,"$38,801","1,216",581,,,,,,,,,,,
February 2018 First Open Bidding Exercise,07/02/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,557","$40,000","2,389","1,534",,,,,,,,,,,
February 2018 First Open Bidding Exercise,07/02/2018,2018,Cat B (Cars above 1600cc or 97kW),"1,396","$42,322","1,831","1,396",,,,,,,,,,,
February 2018 First Open Bidding Exercise,07/02/2018,2018,Cat C (Goods vehicles and buses),249,"$38,303",486,249,,,,,,,,,,,
February 2018 First Open Bidding Exercise,07/02/2018,2018,Cat D (Motorcycles),624,"$8,451",933,608,,,,,,,,,,,
February 2018 First Open Bidding Exercise,07/02/2018,2018,Cat E (Open),566,"$39,903",790,562,,,,,,,,,,,
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,713","$36,890","1,938","1,708",,,,,,,,,,,
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat B (Cars above 1600cc or 97kW),"1,381","$42,661","1,654","1,380",,,,,,,,,,,
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat C (Goods vehicles and buses),257,"$39,000",399,247,,,,,,,,,,,
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat D (Motorcycles),565,"$8,001",786,500,,,,,,,,,,,
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat E (Open),515,"$44,000",817,495,,,,,,,,,,,
January 2018 First Open Bidding Exercise,04/01/2018,2018,Cat A (Cars up to 1600cc and 97kW),"1,693","$41,400","2,264","1,693",,,,,,,,,,,
January 2018 First Open Bidding Exercise,04/01/2018,2018,Cat B (Cars above 1600cc or 97kW),"1,374","$45,289","1,811","1,368",,,,,,,,,,,
January 2018 First Open Bidding Exercise,04/01/2018,2018,Cat C (Goods vehicles and buses),249,"$40,101",458,247,,,,,,,,,,,
January 2018 First Open Bidding Exercise,04/01/2018,2018,Cat D (Motorcycles),525,"$7,701",919,413,,,,,,,,,,,
January 2018 First Open Bidding Exercise,04/01/2018,2018,Cat E (Open),518,"$47,390",923,518,,,,,,,,,,,
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,687","$38,200","1,970","1,654",,,,,,,,,,,
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,374","$47,002","1,634","1,367",,,,,,,,,,,
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat C (Goods vehicles and buses),246,"$45,112",482,232,,,,,,,,,,,
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat D (Motorcycles),514,"$7,501",743,458,,,,,,,,,,,
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat E (Open),531,"$48,011","1,003",529,,,,,,,,,,,
December 2017 First Open Bidding Exercise,06/12/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,680","$42,339","2,158","1,667",,,,,,,,,,,
December 2017 First Open Bidding Exercise,06/12/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,375","$53,711","1,805","1,375",,,,,,,,,,,
December 2017 First Open Bidding Exercise,06/12/2017,2017,Cat C (Goods vehicles and buses),285,"$42,000",454,279,,,,,,,,,,,
December 2017 First Open Bidding Exercise,06/12/2017,2017,Cat D (Motorcycles),516,"$6,552",791,500,,,,,,,,,,,
December 2017 First Open Bidding Exercise,06/12/2017,2017,Cat E (Open),542,"$54,334",831,537,,,,,,,,,,,
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,686","$46,791","2,721","1,679",,,,,,,,,,,
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,383","$57,390","2,173","1,383",,,,,,,,,,,
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat C (Goods vehicles and buses),244,"$57,701",356,241,,,,,,,,,,,
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat D (Motorcycles),538,"$5,992",708,533,,,,,,,,,,,
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat E (Open),516,"$57,501",844,498,,,,,,,,,,,
November 2017 First Open Bidding Exercise,08/11/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,683","$47,112","3,430","1,683",,,,,,,,,,,
November 2017 First Open Bidding Exercise,08/11/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,376","$57,414","2,515","1,375",,,,,,,,,,,
November 2017 First Open Bidding Exercise,08/11/2017,2017,Cat C (Goods vehicles and buses),242,"$58,036",375,200,,,,,,,,,,,
November 2017 First Open Bidding Exercise,08/11/2017,2017,Cat D (Motorcycles),509,"$5,502",683,502,,,,,,,,,,,
November 2017 First Open Bidding Exercise,08/11/2017,2017,Cat E (Open),524,"$57,000",867,495,,,,,,,,,,,
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,815","$41,617","2,391","1,809",,,,,,,,,,,
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,285","$49,996","1,718","1,277",,,,,,,,,,,
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat C (Goods vehicles and buses),445,"$51,890",611,443,,,,,,,,,,,
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat D (Motorcycles),478,"$4,903",687,449,,,,,,,,,,,
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat E (Open),542,"$52,000",809,539,,,,,,,,,,,
October 2017 First Open Bidding Exercise,04/10/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,829","$41,761","2,808","1,827",,,,,,,,,,,
October 2017 First Open Bidding Exercise,04/10/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,285","$48,109","1,646","1,284",,,,,,,,,,,
October 2017 First Open Bidding Exercise,04/10/2017,2017,Cat C (Goods vehicles and buses),492,"$48,902",723,492,,,,,,,,,,,
October 2017 First Open Bidding Exercise,04/10/2017,2017,Cat D (Motorcycles),485,"$5,010",721,484,,,,,,,,,,,
October 2017 First Open Bidding Exercise,04/10/2017,2017,Cat E (Open),540,"$49,000",869,528,,,,,,,,,,,
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,815","$42,902","3,469","1,815",,,,,,,,,,,
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,288","$49,189","1,859","1,288",,,,,,,,,,,
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat C (Goods vehicles and buses),453,"$46,890",706,453,,,,,,,,,,,
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat D (Motorcycles),494,"$5,501",727,493,,,,,,,,,,,
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat E (Open),565,"$49,012",905,563,,,,,,,,,,,
September 2017 First Open Bidding Exercise,06/09/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,820","$36,001","2,195","1,806",,,,,,,,,,,
September 2017 First Open Bidding Exercise,06/09/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,290","$49,000","1,704","1,290",,,,,,,,,,,
September 2017 First Open Bidding Exercise,06/09/2017,2017,Cat C (Goods vehicles and buses),453,"$43,002",695,406,,,,,,,,,,,
September 2017 First Open Bidding Exercise,06/09/2017,2017,Cat D (Motorcycles),543,"$5,402",871,535,,,,,,,,,,,
September 2017 First Open Bidding Exercise,06/09/2017,2017,Cat E (Open),543,"$48,005",805,543,,,,,,,,,,,
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,817","$42,900","2,148","1,817",,,,,,,,,,,
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,293","$51,000","1,683","1,290",,,,,,,,,,,
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat C (Goods vehicles and buses),445,"$42,004",836,436,,,,,,,,,,,
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat D (Motorcycles),605,"$3,512","1,069",588,,,,,,,,,,,
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat E (Open),586,"$50,000",781,562,,,,,,,,,,,
August 2017 First Open Bidding Exercise,10/08/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,817","$46,778","2,403","1,812",,,,,,,,,,,
August 2017 First Open Bidding Exercise,10/08/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,286","$53,711","1,978","1,281",,,,,,,,,,,
August 2017 First Open Bidding Exercise,10/08/2017,2017,Cat D (Motorcycles),574,"$5,701",879,508,,,,,,,,,,,
August 2017 First Open Bidding Exercise,10/08/2017,2017,Cat C (Goods vehicles and buses),454,"$42,801",742,445,,,,,,,,,,,
August 2017 First Open Bidding Exercise,10/08/2017,2017,Cat E (Open),547,"$52,751",822,545,,,,,,,,,,,
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,907","$44,002","2,389","1,905",,,,,,,,,,,
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,322","$50,001","1,784","1,314",,,,,,,,,,,
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat D (Motorcycles),552,"$5,851","1,044",424,,,,,,,,,,,
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat C (Goods vehicles and buses),"1,085","$42,809","1,943","1,084",,,,,,,,,,,
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat E (Open),562,"$50,101",941,516,,,,,,,,,,,
July 2017 First Open Bidding Exercise,05/07/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,904","$42,801","2,296","1,902",,,,,,,,,,,
July 2017 First Open Bidding Exercise,05/07/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,322","$49,802","1,910","1,321",,,,,,,,,,,
July 2017 First Open Bidding Exercise,05/07/2017,2017,Cat D (Motorcycles),474,"$6,001",819,377,,,,,,,,,,,
July 2017 First Open Bidding Exercise,05/07/2017,2017,Cat C (Goods vehicles and buses),"1,088","$40,212","2,189","1,078",,,,,,,,,,,
July 2017 First Open Bidding Exercise,05/07/2017,2017,Cat E (Open),528,"$49,899",872,521,,,,,,,,,,,
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,906","$42,801","2,302","1,898",,,,,,,,,,,
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,321","$47,501","1,651","1,320",,,,,,,,,,,
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat D (Motorcycles),459,"$6,001",931,360,,,,,,,,,,,
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat C (Goods vehicles and buses),"1,086","$36,879","2,125","1,085",,,,,,,,,,,
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat E (Open),553,"$48,001",925,519,,,,,,,,,,,
June 2017 First Open Bidding Exercise,07/06/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,898","$45,201","2,245","1,893",,,,,,,,,,,
June 2017 First Open Bidding Exercise,07/06/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,325","$50,110","1,582","1,324",,,,,,,,,,,
June 2017 First Open Bidding Exercise,07/06/2017,2017,Cat D (Motorcycles),476,"$6,101",743,455,,,,,,,,,,,
June 2017 First Open Bidding Exercise,07/06/2017,2017,Cat C (Goods vehicles and buses),"1,091","$38,501","2,309","1,087",,,,,,,,,,,
June 2017 First Open Bidding Exercise,07/06/2017,2017,Cat E (Open),528,"$50,526",878,528,,,,,,,,,,,
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,920","$46,489","2,601","1,913",,,,,,,,,,,
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,325","$53,001","1,725","1,325",,,,,,,,,,,
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat D (Motorcycles),476,"$6,101",602,470,,,,,,,,,,,
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat C (Goods vehicles and buses),"1,085","$30,600","2,492","1,084",,,,,,,,,,,
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat E (Open),532,"$52,000",731,506,,,,,,,,,,,
May 2017 First Open Bidding Exercise,11/05/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,905","$51,106","2,240","1,905",,,,,,,,,,,
May 2017 First Open Bidding Exercise,11/05/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,320","$55,414","1,996","1,316",,,,,,,,,,,
May 2017 First Open Bidding Exercise,11/05/2017,2017,Cat D (Motorcycles),455,"$6,301",567,433,,,,,,,,,,,
May 2017 First Open Bidding Exercise,11/05/2017,2017,Cat C (Goods vehicles and buses),"1,084","$26,029","2,586","1,078",,,,,,,,,,,
May 2017 First Open Bidding Exercise,11/05/2017,2017,Cat E (Open),529,"$55,000",755,528,,,,,,,,,,,
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,052","$51,600","2,442","2,030",,,,,,,,,,,
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,369","$54,406","2,000","1,365",,,,,,,,,,,
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat D (Motorcycles),347,"$6,712",512,325,,,,,,,,,,,
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat C (Goods vehicles and buses),163,"$26,501",509,162,,,,,,,,,,,
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat E (Open),482,"$54,616",712,477,,,,,,,,,,,
April 2017 First Open Bidding Exercise,12/04/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,068","$52,000","2,486","2,061",,,,,,,,,,,
April 2017 First Open Bidding Exercise,12/04/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,360","$54,405","1,970","1,360",,,,,,,,,,,
April 2017 First Open Bidding Exercise,12/04/2017,2017,Cat D (Motorcycles),355,"$7,589",482,354,,,,,,,,,,,
April 2017 First Open Bidding Exercise,12/04/2017,2017,Cat C (Goods vehicles and buses),162,"$45,906",351,162,,,,,,,,,,,
April 2017 First Open Bidding Exercise,12/04/2017,2017,Cat E (Open),486,"$54,556",748,485,,,,,,,,,,,
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,096","$51,765","2,961","2,096",,,,,,,,,,,
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,357","$54,000","2,081","1,345",,,,,,,,,,,
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat D (Motorcycles),355,"$8,081",453,354,,,,,,,,,,,
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat C (Goods vehicles and buses),164,"$47,036",251,163,,,,,,,,,,,
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat E (Open),499,"$54,501",783,499,,,,,,,,,,,
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,061","$50,789","3,190","2,045",,,,,,,,,,,
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,371","$53,300","2,298","1,368",,,,,,,,,,,
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat D (Motorcycles),368,"$7,483",546,359,,,,,,,,,,,
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat C (Goods vehicles and buses),170,"$49,002",216,170,,,,,,,,,,,
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat E (Open),482,"$53,001",763,478,,,,,,,,,,,
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,133","$49,430","2,926","2,089",,,,,,,,,,,
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,377","$50,621","2,126","1,377",,,,,,,,,,,
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat D (Motorcycles),392,"$6,801",753,384,,,,,,,,,,,
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat C (Goods vehicles and buses),174,"$49,810",249,171,,,,,,,,,,,
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat E (Open),500,"$51,000",800,483,,,,,,,,,,,
February 2017 First Open Bidding Exercise,08/02/2017,2017,Cat A (Cars up to 1600cc and 97kW),"2,060","$48,401","2,691","2,051",,,,,,,,,,,
February 2017 First Open Bidding Exercise,08/02/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,366","$48,209","1,783","1,352",,,,,,,,,,,
February 2017 First Open Bidding Exercise,08/02/2017,2017,Cat D (Motorcycles),348,"$6,412",534,326,,,,,,,,,,,
February 2017 First Open Bidding Exercise,08/02/2017,2017,Cat C (Goods vehicles and buses),164,"$48,901",268,155,,,,,,,,,,,
February 2017 First Open Bidding Exercise,08/02/2017,2017,Cat E (Open),488,"$48,556",805,488,,,,,,,,,,,
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,846","$50,889","2,437","1,766",,,,,,,,,,,
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,246","$52,807","1,967","1,226",,,,,,,,,,,
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat D (Motorcycles),377,"$6,052",412,331,,,,,,,,,,,
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat C (Goods vehicles and buses),186,"$47,001",254,173,,,,,,,,,,,
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat E (Open),400,"$52,600",662,381,,,,,,,,,,,
January 2017 First Open Bidding Exercise,05/01/2017,2017,Cat A (Cars up to 1600cc and 97kW),"1,877","$50,101","2,260","1,870",,,,,,,,,,,
January 2017 First Open Bidding Exercise,05/01/2017,2017,Cat B (Cars above 1600cc or 97kW),"1,252","$53,106","1,835","1,243",,,,,,,,,,,
January 2017 First Open Bidding Exercise,05/01/2017,2017,Cat D (Motorcycles),376,"$6,053",438,374,,,,,,,,,,,
January 2017 First Open Bidding Exercise,05/01/2017,2017,Cat C (Goods vehicles and buses),183,"$46,302",271,180,,,,,,,,,,,
January 2017 First Open Bidding Exercise,05/01/2017,2017,Cat E (Open),401,"$53,001",648,394,,,,,,,,,,,
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,844","$49,751","2,554","1,843",,,,,,,,,,,
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,244","$51,109","2,052","1,242",,,,,,,,,,,
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat D (Motorcycles),415,"$6,101",484,408,,,,,,,,,,,
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat C (Goods vehicles and buses),182,"$49,500",274,176,,,,,,,,,,,
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat E (Open),404,"$50,389",668,404,,,,,,,,,,,
December 2016 First Open Bidding Exercise,07/12/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,844","$48,000","2,335","1,812",,,,,,,,,,,
December 2016 First Open Bidding Exercise,07/12/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,245","$46,229","1,494","1,237",,,,,,,,,,,
December 2016 First Open Bidding Exercise,07/12/2016,2016,Cat D (Motorcycles),374,"$6,113",436,368,,,,,,,,,,,
December 2016 First Open Bidding Exercise,07/12/2016,2016,Cat C (Goods vehicles and buses),185,"$51,209",262,183,,,,,,,,,,,
December 2016 First Open Bidding Exercise,07/12/2016,2016,Cat E (Open),413,"$50,010",643,411,,,,,,,,,,,
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,846","$50,951","2,536","1,846",,,,,,,,,,,
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,254","$53,001","1,708","1,253",,,,,,,,,,,
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat D (Motorcycles),375,"$6,212",520,331,,,,,,,,,,,
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat C (Goods vehicles and buses),182,"$49,002",286,181,,,,,,,,,,,
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat E (Open),401,"$54,901",531,397,,,,,,,,,,,
November 2016 First Open Bidding Exercise,09/11/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,929","$52,668","2,800","1,929",,,,,,,,,,,
November 2016 First Open Bidding Exercise,09/11/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,347","$56,206","2,012","1,345",,,,,,,,,,,
November 2016 First Open Bidding Exercise,09/11/2016,2016,Cat D (Motorcycles),399,"$6,311",457,396,,,,,,,,,,,
November 2016 First Open Bidding Exercise,09/11/2016,2016,Cat C (Goods vehicles and buses),185,"$48,001",283,181,,,,,,,,,,,
November 2016 First Open Bidding Exercise,09/11/2016,2016,Cat E (Open),401,"$56,000",641,388,,,,,,,,,,,
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,023","$50,991","2,584","2,021",,,,,,,,,,,
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,340","$56,410","1,768","1,329",,,,,,,,,,,
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat D (Motorcycles),360,"$6,354",430,356,,,,,,,,,,,
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat C (Goods vehicles and buses),188,"$45,589",252,187,,,,,,,,,,,
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat E (Open),429,"$56,340",678,428,,,,,,,,,,,
October 2016 First Open Bidding Exercise,05/10/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,064","$51,507","2,938","1,979",,,,,,,,,,,
October 2016 First Open Bidding Exercise,05/10/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,350","$53,001","1,785","1,246",,,,,,,,,,,
October 2016 First Open Bidding Exercise,05/10/2016,2016,Cat D (Motorcycles),387,"$6,353",498,359,,,,,,,,,,,
October 2016 First Open Bidding Exercise,05/10/2016,2016,Cat C (Goods vehicles and buses),176,"$48,702",232,172,,,,,,,,,,,
October 2016 First Open Bidding Exercise,05/10/2016,2016,Cat E (Open),436,"$54,200",642,435,,,,,,,,,,,
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,008","$50,000","2,610","1,993",,,,,,,,,,,
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,338","$55,501","2,017","1,334",,,,,,,,,,,
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat D (Motorcycles),403,"$6,501",478,402,,,,,,,,,,,
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat C (Goods vehicles and buses),177,"$49,890",237,165,,,,,,,,,,,
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat E (Open),429,"$55,201",592,429,,,,,,,,,,,
September 2016 First Open Bidding Exercise,07/09/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,067","$51,506","2,739","2,011",,,,,,,,,,,
September 2016 First Open Bidding Exercise,07/09/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,372","$57,002","2,183","1,358",,,,,,,,,,,
September 2016 First Open Bidding Exercise,07/09/2016,2016,Cat D (Motorcycles),362,"$6,452",521,334,,,,,,,,,,,
September 2016 First Open Bidding Exercise,07/09/2016,2016,Cat C (Goods vehicles and buses),175,"$49,801",260,175,,,,,,,,,,,
September 2016 First Open Bidding Exercise,07/09/2016,2016,Cat E (Open),458,"$56,889",723,450,,,,,,,,,,,
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,034","$53,334","2,803","2,034",,,,,,,,,,,
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,336","$56,500","2,088","1,334",,,,,,,,,,,
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat D (Motorcycles),365,"$6,352",541,321,,,,,,,,,,,
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat C (Goods vehicles and buses),180,"$48,001",236,178,,,,,,,,,,,
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat E (Open),450,"$56,956",618,450,,,,,,,,,,,
August 2016 First Open Bidding Exercise,03/08/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,018","$52,503","2,712","1,959",,,,,,,,,,,
August 2016 First Open Bidding Exercise,03/08/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,336","$57,903","2,156","1,300",,,,,,,,,,,
August 2016 First Open Bidding Exercise,03/08/2016,2016,Cat D (Motorcycles),403,"$6,206",558,400,,,,,,,,,,,
August 2016 First Open Bidding Exercise,03/08/2016,2016,Cat C (Goods vehicles and buses),177,"$48,302",245,177,,,,,,,,,,,
August 2016 First Open Bidding Exercise,03/08/2016,2016,Cat E (Open),429,"$58,201",610,400,,,,,,,,,,,
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,272","$53,000","3,195","2,246",,,,,,,,,,,
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,463","$57,508","2,439","1,463",,,,,,,,,,,
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat D (Motorcycles),430,"$6,302",586,424,,,,,,,,,,,
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat C (Goods vehicles and buses),230,"$49,890",344,225,,,,,,,,,,,
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat E (Open),521,"$57,501",821,500,,,,,,,,,,,
